QID,Title,Description,Year,Collection,Collection_QID,Location,Location_QID,Inventory_Number,Commons_File_Title,IIIF_Manifest_URL,Image_URL,Image_Local_Path,Image_Width,Image_Height,Image_Mime,Image_SHA1,License_Short,License_URL,Credit_Line,Artist_Credited,Usage_Terms,Attribution_Status,Category_Justification
Q123785856,Betsabea al bagno,,1637,Matthiesen Gallery,Q18177256,Matthiesen Gallery,Q18177256,,File:Artemisia Gentileschi - Bathsheba at Her Bath (ca. 1636-1638).jpg,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Artemisia_Gentileschi_-_Bathsheba_at_Her_Bath_%28ca._1636-1638%29.jpg,artemisia_workshop\WRK_01_Betsabea_al_bagno-1637.jpg,1894,2400,image/jpeg,15fe0a882db746439922a0c5bd5c01dcf0dcac92,Public domain,,"<a rel=""nofollow"" class=""external free"" href=""http://www.artribune.com/wp-content/uploads/2012/01/ART_77_bassa_1.jpg"">http://www.artribune.com/wp-content/uploads/2012/01/ART_77_bassa_1.jpg</a>","<bdi><a href=""https://en.wikipedia.org/wiki/en:Artemisia_Gentileschi"" class=""extiw"" title=""w:en:Artemisia Gentileschi""><span title=""Italian Baroque painter (1593-1651)"">Artemisia Gentileschi</span></a></bdi> / <bdi><a href=""https://en.wikipedia.org/wiki/en:Bernardo_Cavallino"" class=""extiw"" title=""w:en:Bernardo Cavallino""><span title=""Italian painter (1616-1656)"">Bernardo Cavallino</span></a></bdi> / <bdi><a href=""https://en.wikipedia.org/wiki/en:Guercino"" class=""extiw"" title=""w:en:Guercino""><span title=""painter of the Italian 17th century (1591–1666)"">Guercino</span></a></bdi>",Public domain,workshop,"Columbus Museum version. Bissell WB 37 notes landscape by Viviano Codazzi, architecture possibly Domenico Gargiulo. Main figures by Artemisia with workshop assistance."
Q104905034,"Bathsheba, c. 1650-52",painting by Artemisia Gentileschi,1651,http://www.wikidata.org/.well-known/genid/7f701549dc4fe68385ce69d1d7b8110d,7f701549dc4fe68385ce69d1d7b8110d,Gosford House,Q5587188,,"File:Gentileschi - Bathsheba, c. 1650-52.jpg",,https://upload.wikimedia.org/wikipedia/commons/7/76/Gentileschi_-_Bathsheba%2C_c._1650-52.jpg,artemisia_workshop\WRK_02_Bathsheba_c_1650-52-1651.jpg,672,800,image/jpeg,da114941b90d7f19d89ff5ed28c3d0e3af5c9028,Public domain,,"<a rel=""nofollow"" class=""external free"" href=""https://www.pubhist.com/w49522"">https://www.pubhist.com/w49522</a>","<bdi><a href=""https://en.wikipedia.org/wiki/en:Artemisia_Gentileschi"" class=""extiw"" title=""w:en:Artemisia Gentileschi""><span title=""Italian Baroque painter (1593-1651)"">Artemisia Gentileschi</span></a></bdi>",Public domain,workshop,"Late work. Ward Bissell notes possible collaboration with daughter Prudentia. Main composition Artemisia, assistance documented."
Q3978272,Susanna e i vecchioni,painting by Artemisia Gentileschi in Burghley House,1622,Burghley House,Q1015079,Burghley House,Q1015079,PIC 563,"File:Suzanne et les Vieillards, par Artemisia Gentileschi.jpg",,https://upload.wikimedia.org/wikipedia/commons/6/6e/Suzanne_et_les_Vieillards%2C_par_Artemisia_Gentileschi.jpg,artemisia_workshop\WRK_03_Susanna_e_i_vecchioni-1622.jpg,774,1024,image/jpeg,cc51357fdc3cf0f42492c828270e05d79cfa7538,Public domain,,"<a rel=""nofollow"" class=""external free"" href=""https://collections.burghley.co.uk/wp-content/uploads/2016/06/pic218.jpg"">https://collections.burghley.co.uk/wp-content/uploads/2016/06/pic218.jpg</a>",Artemisia Gentileschi,Public domain,workshop,"If 1652 Bologna: documented collaboration with Onofrio Palumbo. Main composition Artemisia, execution shared. Other versions may be fully autograph."
Q3978273,Susanna e i vecchioni,painting by Artemisia Gentileschi (Brno),1649,Moravian Gallery in Brno,Q3094617,Moravian Gallery in Brno,Q3094617,M_246,File:Susanna and the Elders.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Susanna_and_the_Elders.jpg/2048px-Susanna_and_the_Elders.jpg,artemisia_workshop\WRK_04_Susanna_e_i_vecchioni-1649.jpg,2048,2501,image/jpeg,7c89b0b0ccf7404f74f40604c1c5febe7798ec19,Public domain,,"1. <a rel=""nofollow"" class=""external text"" href=""http://www.moravska-galerie.cz/en/moravian-gallery-in-brno/collections/elderly-art/"">Moravian Gallery in Brno</a><br>2./3. <a href=""https://en.wikipedia.org/wiki/en:Google_Arts_%26_Culture"" class=""extiw"" title=""w:en:Google Arts &amp; Culture""><span title=""app and website exploring partner museums"">Google Arts &amp; Culture</span></a>  — <a rel=""nofollow"" class=""external text"" href=""//www.google.com/culturalinstitute/asset-viewer/rQH0ja0DwrR2tQ"">rQH0ja0DwrR2tQ</a>","<bdi><a href=""https://en.wikipedia.org/wiki/en:Artemisia_Gentileschi"" class=""extiw"" title=""w:en:Artemisia Gentileschi""><span title=""Italian Baroque painter (1593-1651)"">Artemisia Gentileschi</span></a></bdi>",Public domain,workshop,"If 1652 Bologna: documented collaboration with Onofrio Palumbo. Main composition Artemisia, execution shared. Other versions may be fully autograph."
Q19863040,Bathsheba,painting by Artemisia Gentileschi,1645,Prussian Palaces and Gardens Foundation Berlin-Brandenburg,Q531772,New Palace,Q677383,,File:Artemisia Gentileschi - Bathsheba - WGA08558.jpg,,https://upload.wikimedia.org/wikipedia/commons/1/19/Artemisia_Gentileschi_-_Bathsheba_-_WGA08558.jpg,artemisia_workshop\WRK_05_Bathsheba-1645.jpg,900,1056,image/jpeg,3bb2c67cdde027c3396b15b04721032ecb45fc5a,Public domain,,"<a href=""https://en.wikipedia.org/wiki/en:Web_Gallery_of_Art"" class=""extiw"" title=""w:en:Web Gallery of Art""><span title=""virtual art gallery for European fine art created before 1900"">Web Gallery of Art</span></a>:  <span typeof=""mw:File""><a href=""http://www.wga.hu/art/g/gentiles/artemisi/bathsheb.jpg"" rel=""nofollow""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Inkscape.svg/20px-Inkscape.svg.png"" decoding=""async"" width=""20"" height=""20"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Inkscape.svg/40px-Inkscape.svg.png 1.5x"" data-file-width=""60"" data-file-height=""60""></a></span> <a rel=""nofollow"" class=""external text"" href=""http://www.wga.hu/art/g/gentiles/artemisi/bathsheb.jpg"">Image</a> <span typeof=""mw:File""><a href=""http://www.wga.hu/html/g/gentiles/artemisi/bathsheb.html"" rel=""nofollow""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Information_icon.svg/20px-Information_icon.svg.png"" decoding=""async"" width=""20"" height=""20"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Information_icon.svg/40px-Information_icon.svg.png 1.5x"" data-file-width=""620"" data-file-height=""620""></a></span> <a rel=""nofollow"" class=""external text"" href=""http://www.wga.hu/html/g/gentiles/artemisi/bathsheb.html"">Info about artwork</a><div style=""display: none;"">wga QS:P11807,""g/gentiles/artemisi/bathsheb""</div>","<bdi><a href=""https://en.wikipedia.org/wiki/en:Artemisia_Gentileschi"" class=""extiw"" title=""w:en:Artemisia Gentileschi""><span title=""Italian Baroque painter (1593-1651)"">Artemisia Gentileschi</span></a></bdi> / <bdi><a href=""https://en.wikipedia.org/wiki/en:Viviano_Codazzi"" class=""extiw"" title=""w:en:Viviano Codazzi""><span title=""Italian painter (1604-1670)"">Viviano Codazzi</span></a></bdi>",Public domain,workshop,Multiple versions with documented workshop assistance. Architectural elements possibly by Viviano Codazzi. Ward Bissell notes possible collaboration with daughter Prudentia.
Q29015025,Betsabea al bagno,painting by Artemisia Gentileschi in Italy,1640,http://www.wikidata.org/.well-known/genid/3f12d4edfc4514708efcb6badf552b41,3f12d4edfc4514708efcb6badf552b41,Italy,Q38,,File:Artemisia Gentileschi - Bathsheba at Her Bath (ca. 1640-1645).jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Artemisia_Gentileschi_-_Bathsheba_at_Her_Bath_%28ca._1640-1645%29.jpg/2048px-Artemisia_Gentileschi_-_Bathsheba_at_Her_Bath_%28ca._1640-1645%29.jpg,artemisia_workshop\WRK_06_Betsabea_al_bagno-1640.jpg,2048,2654,image/jpeg,42b534f464ccc8e685bad930dfefad22f7f3d44c,Public domain,,"The Athenaeum:  <a rel=""nofollow"" class=""external text"" href=""http://www.the-athenaeum.org"">Home</a> - <a rel=""nofollow"" class=""external text"" href=""http://www.the-athenaeum.org/art/detail.php?ID=121591"">info</a> - <a rel=""nofollow"" class=""external text"" href=""http://www.the-athenaeum.org/art/full.php?ID=121591"">pic</a>","<bdi><a href=""https://en.wikipedia.org/wiki/en:Artemisia_Gentileschi"" class=""extiw"" title=""w:en:Artemisia Gentileschi""><span title=""Italian Baroque painter (1593-1651)"">Artemisia Gentileschi</span></a></bdi>",Public domain,workshop,"Columbus Museum version. Bissell WB 37 notes landscape by Viviano Codazzi, architecture possibly Domenico Gargiulo. Main figures by Artemisia with workshop assistance."
Q29016299,Betsabea al bagno,painting by Artemisia Gentileschi in Vienna,1640,http://www.wikidata.org/.well-known/genid/5b6e1ac84449644a9b6154e26731e959,5b6e1ac84449644a9b6154e26731e959,Vienna,Q1741,,File:Bathsheba at Her Bath by Artemisia Gentileschi ca. 1640-1645 (Vienna).jpg,,https://upload.wikimedia.org/wikipedia/commons/3/3d/Bathsheba_at_Her_Bath_by_Artemisia_Gentileschi_ca._1640-1645_%28Vienna%29.jpg,artemisia_workshop\WRK_07_Betsabea_al_bagno-1640.jpg,1100,1080,image/jpeg,c496f07487890a267ffa53b557ee05b0e9fa61e2,Public domain,,"<a rel=""nofollow"" class=""external free"" href=""http://image.slidesharecdn.com/artemisiagentileschilomi-121011162255-phpapp01/95/artemisia-gentileschi-lomi-10-728.jpg?cb=1349972639"">http://image.slidesharecdn.com/artemisiagentileschilomi-121011162255-phpapp01/95/artemisia-gentileschi-lomi-10-728.jpg?cb=1349972639</a>","<bdi><a href=""https://en.wikipedia.org/wiki/en:Artemisia_Gentileschi"" class=""extiw"" title=""w:en:Artemisia Gentileschi""><span title=""Italian Baroque painter (1593-1651)"">Artemisia Gentileschi</span></a></bdi>",Public domain,workshop,"Columbus Museum version. Bissell WB 37 notes landscape by Viviano Codazzi, architecture possibly Domenico Gargiulo. Main figures by Artemisia with workshop assistance."
Q29017580,Davide e Betsabea,painting by Artemisia Gentileschi,1645,Palazzo Pitti,Q29286,Palazzo Pitti,Q29286,,File:Gentileschi palatina betsabe.jpg,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Gentileschi_palatina_betsabe.jpg,artemisia_workshop\WRK_08_Davide_e_Betsabea-1645.jpg,800,1080,image/jpeg,4913f522d05492c5b653d275631b8faf59ee87d9,Public domain,,"<a rel=""nofollow"" class=""external free"" href=""http://allafiorentina.com/florence/women-artists-florence/#.VrLfR1Jf2M8"">http://allafiorentina.com/florence/women-artists-florence/#.VrLfR1Jf2M8</a>","<bdi><a href=""https://en.wikipedia.org/wiki/en:Artemisia_Gentileschi"" class=""extiw"" title=""w:en:Artemisia Gentileschi""><span title=""Italian Baroque painter (1593-1651)"">Artemisia Gentileschi</span></a></bdi>",Public domain,workshop,David and Bathsheba. Multiple versions with documented landscape assistance. Main figures by Artemisia.
Q29017592,Betsabea,"painting by Artemisia Gentileschi, Viviano Codazzi and Domenico Gargiulo",1637,Columbus Museum of Art,Q5935366,Columbus Museum of Art,Q5935366,1967.006,File:David and Bathsheba by Artemisia Gentileschi.jpg,,https://upload.wikimedia.org/wikipedia/commons/4/4c/David_and_Bathsheba_by_Artemisia_Gentileschi.jpg,artemisia_workshop\WRK_09_Betsabea-1637.jpg,1584,2000,image/jpeg,dc4c4b7addaabe158544e95bb199367a8336009c,Public domain,,"<a rel=""nofollow"" class=""external free"" href=""https://rs.1000museums.com/filestore/4/7/9/4/3_54ed02d59c21ea6/47943lpr_2b17bce53026fdc.jpg"">https://rs.1000museums.com/filestore/4/7/9/4/3_54ed02d59c21ea6/47943lpr_2b17bce53026fdc.jpg</a>","<bdi><a href=""https://en.wikipedia.org/wiki/en:Artemisia_Gentileschi"" class=""extiw"" title=""w:en:Artemisia Gentileschi""><span title=""Italian Baroque painter (1593-1651)"">Artemisia Gentileschi</span></a></bdi>",Public domain,workshop,If 1638 version: WB 40. If 1645 versions: documented workshop assistance for settings.
Q29017671,Betsabea al bagno,painting by Artemisia Gentileschi,1638,http://www.wikidata.org/.well-known/genid/d10796c3d2ca5aede1bd86c4edb003e9,d10796c3d2ca5aede1bd86c4edb003e9,private collection,Q768717,,File:Artemisia Gentileschi - Bathsheba at Her Bath (ca. 1637-1638).jpg,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Artemisia_Gentileschi_-_Bathsheba_at_Her_Bath_%28ca._1637-1638%29.jpg,artemisia_workshop\WRK_10_Betsabea_al_bagno-1638.jpg,1515,2000,image/jpeg,d2ad6f1e6d6064bf0a53be2bdb76e7fa501ce812,Public domain,,"The Athenaeum:  <a rel=""nofollow"" class=""external text"" href=""http://www.the-athenaeum.org"">Home</a> - <a rel=""nofollow"" class=""external text"" href=""http://www.the-athenaeum.org/art/detail.php?ID=191364"">info</a> - <a rel=""nofollow"" class=""external text"" href=""http://www.the-athenaeum.org/art/full.php?ID=191364"">pic</a>","<bdi>After <a href=""https://en.wikipedia.org/wiki/en:Artemisia_Gentileschi"" class=""extiw"" title=""w:en:Artemisia Gentileschi""><span title=""Italian Baroque painter (1593-1651)"">Artemisia Gentileschi</span></a></bdi> / <bdi><a href=""https://en.wikipedia.org/wiki/en:Artemisia_Gentileschi"" class=""extiw"" title=""w:en:Artemisia Gentileschi""><span title=""Italian Baroque painter (1593-1651)"">Artemisia Gentileschi</span></a></bdi>",Public domain,workshop,"Columbus Museum version. Bissell WB 37 notes landscape by Viviano Codazzi, architecture possibly Domenico Gargiulo. Main figures by Artemisia with workshop assistance."
