qid,label,description,image_url,artist_name,artist_qid,artist_gender,birth_year,death_year,nationality,inventory,collection,location,inception,genre,depicts,material,height_cm,width_cm,local_filename,image_local_path,commons_file_title,commons_artist,commons_license,commons_license_url,commons_attribution,commons_credit,commons_usage_terms,image_width,image_height,image_mime,image_sha1
Q23029869,Self-Portrait at the Age of Twelve,,http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Waser%2C%20Selbstbildnis%20mit%2012%20Jahren.jpg,Anna Waser,Q119788,female,,,,212,Kunsthaus Zürich,Kunsthaus Zürich,1691,self-portrait,,oil paint,83,68,F_001_Anna_Waser_Self-Portrait_at_the_Age_of_Twelve_1691.jpg,female_paintings\F_001_Anna_Waser_Self-Portrait_at_the_Age_of_Twelve_1691.jpg,"File:Anna Waser, Selbstbildnis mit 12 Jahren.jpg","<bdi><a href=""https://en.wikipedia.org/wiki/en:Anna_Waser"" class=""extiw"" title=""w:en:Anna Waser""><span title=""painter from Switzerland (1678-1714)"">Anna Waser</span></a></bdi>",Public domain,,,"SIK-ISEA, Swiss Institute of Art History / Kunsthaus Zürich (<a rel=""nofollow"" class=""external free"" href=""https://recherche.sik-isea.ch/de/sik:work-9891269:exp/in/sikart/actor/list"">https://recherche.sik-isea.ch/de/sik:work-9891269:exp/in/sikart/actor/list</a>; cf. <a rel=""nofollow"" class=""external free"" href=""https://collection.kunsthaus.ch/de/collection/item/3465/"">https://collection.kunsthaus.ch/de/collection/item/3465/</a>)",Public domain,1600,1954,image/jpeg,a93e93224ecaf2f0cb9fb27dc4ab49b61d5d06a1
Q111821688,By the Waters of Babylon,,http://commons.wikimedia.org/wiki/Special:FilePath/By%20the%20Waters%20of%20Babylon%20%281882-1883%29.jpg,Evelyn De Morgan,Q235903,female,,,,,,,1882,,,,,,F_002_Evelyn_De_Morgan_By_the_Waters_of_Babylon_1882.jpg,female_paintings\F_002_Evelyn_De_Morgan_By_the_Waters_of_Babylon_1882.jpg,File:By the Waters of Babylon (1882-1883).jpg,"<a href=""https://en.wikipedia.org/wiki/Evelyn_de_Morgan"" class=""extiw"" title=""en:Evelyn de Morgan"">Evelyn de Morgan</a>",Public domain,,,"<a rel=""nofollow"" class=""external free"" href=""http://www.sightswithin.com/Evelyn.De_Morgan/By_the_Waters_of_Babylon_%281882-1883%29.jpg"">http://www.sightswithin.com/Evelyn.De_Morgan/By_the_Waters_of_Babylon_%281882-1883%29.jpg</a>",Public domain,1200,654,image/jpeg,17fcb4eadbdae0dd43b6ccfcfa84599cbdbc5e1c
Q124211964,Demeter Mourning for Persephone,,http://commons.wikimedia.org/wiki/Special:FilePath/Demeter%20mourning%20Persephone%201906.jpg,Evelyn De Morgan,Q235903,female,,,,,De Morgan Centre,De Morgan Centre,1906,mythological painting,,oil paint,,,F_003_Evelyn_De_Morgan_Demeter_Mourning_for_Persephone_1906.jpg,female_paintings\F_003_Evelyn_De_Morgan_Demeter_Mourning_for_Persephone_1906.jpg,File:Demeter mourning Persephone 1906.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Evelyn_De_Morgan"" class=""extiw"" title=""w:en:Evelyn De Morgan""><span title=""Pre-Raphaelite artist (1993-"">Evelyn De Morgan</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external free"" href=""http://visionsofwhimsy.blogspot.de/2011/04/happy-birthday-mum.html"">http://visionsofwhimsy.blogspot.de/2011/04/happy-birthday-mum.html</a> and <a rel=""nofollow"" class=""external free"" href=""https://artsandculture.google.com/asset/demeter-mourning-for-persephone-evelyn-de-morgan/SwEda190MoCNRQ"">https://artsandculture.google.com/asset/demeter-mourning-for-persephone-evelyn-de-morgan/SwEda190MoCNRQ</a>",Public domain,1730,1941,image/jpeg,a672ce421ff9806e254f61530cf27347ba37fd1c
Q119146364,Life and Thought Emerging from the Tomb,,http://commons.wikimedia.org/wiki/Special:FilePath/Evelyn%20De%20Morgan%20%281855-1919%29%20-%20Life%20and%20Thought%20Emerging%20from%20the%20Tomb%20-%20WAG%203074%20-%20Walker%20Art%20Gallery.jpg,Evelyn De Morgan,Q235903,female,,,,WAG 3074,Walker Art Gallery,Walker Art Gallery,1893,,,oil paint,165,292.5,F_004_Evelyn_De_Morgan_Life_and_Thought_Emerging_from_the_Tomb_1893.jpg,female_paintings\F_004_Evelyn_De_Morgan_Life_and_Thought_Emerging_from_the_Tomb_1893.jpg,File:Evelyn De Morgan (1855-1919) - Life and Thought Emerging from the Tomb - WAG 3074 - Walker Art Gallery.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Evelyn_De_Morgan"" class=""extiw"" title=""w:en:Evelyn De Morgan""><span title=""Pre-Raphaelite artist (1993-"">Evelyn De Morgan</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external text"" href=""https://artuk.org/discover/artworks/life-and-thought-emerging-from-the-tomb-97953"">Art UK</a> <span class=""mw-valign-text-top"" typeof=""mw:File/Frameless""><a href=""//commons.wikimedia.org/wiki/File:OOjs_UI_icon_edit-ltr-progressive.svg"" class=""mw-file-description"" title=""Edit this at Structured Data on Commons""><img alt=""Edit this at Structured Data on Commons"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png"" decoding=""async"" width=""10"" height=""10"" class=""mw-file-element"" data-file-width=""20"" data-file-height=""20""></a></span>",Public domain,1000,554,image/jpeg,788cbcaab6c9e010ce7491468e7c2054526d7fad
Q113666056,The Sea Maidens,,http://commons.wikimedia.org/wiki/Special:FilePath/Evelyn%20de%20Morgan%20-%20The%20Sea%20Maidens%2C%201885-1886.jpg,Evelyn De Morgan,Q235903,female,,,,,De Morgan Centre,De Morgan Centre,1885,,,oil paint,,,F_005_Evelyn_De_Morgan_The_Sea_Maidens_1885.jpg,female_paintings\F_005_Evelyn_De_Morgan_The_Sea_Maidens_1885.jpg,"File:Evelyn de Morgan - The Sea Maidens, 1885-1886.jpg","<bdi><a href=""https://en.wikipedia.org/wiki/en:Evelyn_De_Morgan"" class=""extiw"" title=""w:en:Evelyn De Morgan""><span title=""Pre-Raphaelite artist (1993-"">Evelyn De Morgan</span></a></bdi>",Public domain,,,"The Athenaeum:  <a rel=""nofollow"" class=""external text"" href=""http://www.the-athenaeum.org"">Home</a> - <a rel=""nofollow"" class=""external text"" href=""http://www.the-athenaeum.org/art/detail.php?ID=101609"">info</a> - <a rel=""nofollow"" class=""external text"" href=""http://www.the-athenaeum.org/art/full.php?ID=101609"">pic</a> <a rel=""nofollow"" class=""external text"" href=""http://web.archive.org/web/20160304054409/http://www.the-athenaeum.org/art/detail.php?ID=101609"">Archived</a> 2016-03-04 at the <a href=""https://en.wikipedia.org/wiki/Wayback_Machine"" class=""extiw"" title=""en:Wayback Machine"">Wayback Machine</a>",Public domain,2048,1052,image/jpeg,cd164ee71e02c089446e61645b22eb324044979b
Q113453633,Daughters of the Mist,,http://commons.wikimedia.org/wiki/Special:FilePath/Evelyn%20de%20Morgan%20-%20Daughters%20of%20the%20Mist%2C%201905-1910.jpg,Evelyn De Morgan,Q235903,female,,,,P_EDM_0026,De Morgan Foundation,,1909,,,oil paint,119.4,101,F_006_Evelyn_De_Morgan_Daughters_of_the_Mist_1909.jpg,female_paintings\F_006_Evelyn_De_Morgan_Daughters_of_the_Mist_1909.jpg,"File:Evelyn de Morgan - Daughters of the Mist, 1905-1910.jpg","<bdi><a href=""https://en.wikipedia.org/wiki/en:Evelyn_De_Morgan"" class=""extiw"" title=""w:en:Evelyn De Morgan""><span title=""Pre-Raphaelite artist (1993-"">Evelyn De Morgan</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external autonumber"" href=""http://www.the-athenaeum.org/art/detail.php?ID=101608"">[1]</a> and <a rel=""nofollow"" class=""external autonumber"" href=""https://artsandculture.google.com/asset/daughters-of-the-mist-evelyn-de-morgan/qwG-ssZ-Wa31PQ"">[2]</a>",Public domain,1634,2000,image/jpeg,5c013356ebfac3da53f8720ac1d683449bc15604
Q17105762,The Gilded Cage,,http://commons.wikimedia.org/wiki/Special:FilePath/De%20Morgan%20-%20Guilded%20Cage.jpg,Evelyn De Morgan,Q235903,female,,,,P_EDM_0037,De Morgan Centre,Surrey,1919,,,oil paint,35.25,42,F_007_Evelyn_De_Morgan_The_Gilded_Cage_1919.jpg,female_paintings\F_007_Evelyn_De_Morgan_The_Gilded_Cage_1919.jpg,File:De Morgan - Guilded Cage.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Evelyn_De_Morgan"" class=""extiw"" title=""w:en:Evelyn De Morgan""><span title=""Pre-Raphaelite artist (1993-"">Evelyn De Morgan</span></a></bdi>",Public domain,,,"<a href=""https://en.wikipedia.org/wiki/en:Google_Arts_%26_Culture"" class=""extiw"" title=""w:en:Google Arts &amp; Culture""><span title=""app and website exploring partner museums"">Google Arts &amp; Culture</span></a>  — <a rel=""nofollow"" class=""external text"" href=""//www.google.com/culturalinstitute/asset-viewer/the-gilded-cage-evelyn-de-morgan/RAEmsVAp9heLHg"">the-gilded-cage-evelyn-de-morgan/RAEmsVAp9heLHg</a> and <a rel=""nofollow"" class=""external free"" href=""http://www.mezzo-mondo.com/arts/mm/preraphaelites/demorgan/MOE029.html"">http://www.mezzo-mondo.com/arts/mm/preraphaelites/demorgan/MOE029.html</a>",Public domain,2048,1730,image/jpeg,db823dee479949d439ffa6e2fc1d413bdf7fa674
Q135471067,St. Augustine washes the feet of Jesus,,http://commons.wikimedia.org/wiki/Special:FilePath/Legnanino%20-%20St.%20Augustine%20washes%20the%20feet%20of%20Jesus.jpg,Clarice Beckett,Q2298515,female,,,,,San Marco Church,San Marco Church,1708,religious art,,canvas,,,F_008_Clarice_Beckett_St_Augustine_washes_the_feet_of_Jesus_1708.jpg,female_paintings\F_008_Clarice_Beckett_St_Augustine_washes_the_feet_of_Jesus_1708.jpg,File:Legnanino - St. Augustine washes the feet of Jesus.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Stefano_Maria_Legnani"" class=""extiw"" title=""w:en:Stefano Maria Legnani""><span title=""Italian painter (1660-1715)"">Stefano Maria Legnani</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external free"" href=""http://www.christianiconography.info/Wikimedia%20Commons/augustinePilgrims.html"">http://www.christianiconography.info/Wikimedia%20Commons/augustinePilgrims.html</a>",Public domain,550,471,image/jpeg,ee40e1aca67a64858906aae4b6432d065f144256
Q3842630,Madonna of the Rosary,,http://commons.wikimedia.org/wiki/Special:FilePath/Stefano%20Maria%20Legnani%2C%20madonna%20del%20rosario.jpg,Clarice Beckett,Q2298515,female,,,,,Pinacoteca civica di Caravaggio,Pinacoteca civica di Caravaggio,1700,religious art,,oil paint,142,146,F_009_Clarice_Beckett_Madonna_of_the_Rosary_1700.jpg,female_paintings\F_009_Clarice_Beckett_Madonna_of_the_Rosary_1700.jpg,"File:Stefano Maria Legnani, madonna del rosario.jpg","<bdi><a href=""https://en.wikipedia.org/wiki/en:Stefano_Maria_Legnani"" class=""extiw"" title=""w:en:Stefano Maria Legnani""><span title=""Italian painter (1660-1715)"">Stefano Maria Legnani</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external free"" href=""http://www.comune.caravaggio.bg.it/galleria/dettaglio_foto.asp?id=393"">http://www.comune.caravaggio.bg.it/galleria/dettaglio_foto.asp?id=393</a>",Public domain,263,400,image/jpeg,98d2d392f63d6f0277a450912f8d66a65c39f587
Q20475840,Green River,,http://commons.wikimedia.org/wiki/Special:FilePath/Green%20River%20SAAM-1974.28.257%201.jpg,Mary Blair,Q231082,female,,,,1974.28.257,Smithsonian American Art Museum,Smithsonian American Art Museum,1940,,,,38.4175,54.45125,F_010_Mary_Blair_Green_River_1940.jpg,female_paintings\F_010_Mary_Blair_Green_River_1940.jpg,File:Green River SAAM-1974.28.257 1.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Mary_Blair"" class=""extiw"" title=""w:en:Mary Blair""><span title=""American artist (1911-1978)"">Mary Blair</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external free"" href=""https://americanart.si.edu/artwork/green-river-2155"">https://americanart.si.edu/artwork/green-river-2155</a>",Public domain,2000,1392,image/jpeg,edc22262b3eebb9acbad5ee0762ac03e805c5089
