qid,label,description,image_url,artist_name,artist_qid,artist_gender,birth_year,death_year,nationality,inventory,collection,location,inception,genre,depicts,material,height_cm,width_cm,local_filename,image_local_path,commons_file_title,commons_artist,commons_license,commons_license_url,commons_attribution,commons_credit,commons_usage_terms,image_width,image_height,image_mime,image_sha1
Q2336984,The Music Lesson,,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20Lady%20at%20the%20Virginal%20with%20a%20Gentleman%2C%20%27The%20Music%20Lesson%27%20-%20Google%20Art%20Project.jpg,Edgar Degas,Q41264,male,,,,RCIN 405346,Royal Collection,Buckingham Palace,1662,genre art,,oil paint,74.1,64.6,M_001_Edgar_Degas_The_Music_Lesson_1662.jpg,male_paintings\M_001_Edgar_Degas_The_Music_Lesson_1662.jpg,"File:Johannes Vermeer - Lady at the Virginal with a Gentleman, 'The Music Lesson' - Google Art Project.jpg","<bdi><a href=""https://en.wikipedia.org/wiki/en:Johannes_Vermeer"" class=""extiw"" title=""w:en:Johannes Vermeer""><span title=""Dutch painter (1632–1675)"">Johannes Vermeer</span></a></bdi>",Public domain,,,"<a href=""https://en.wikipedia.org/wiki/en:Google_Arts_%26_Culture"" class=""extiw"" title=""w:en:Google Arts &amp; Culture""><span title=""app and website exploring partner museums"">Google Arts &amp; Culture</span></a>  — <a rel=""nofollow"" class=""external text"" href=""//www.google.com/culturalinstitute/asset-viewer/CwFxCw3kUr-Lrw"">CwFxCw3kUr-Lrw</a>",Public domain,2048,2357,image/jpeg,80b2c1713ee7cc8bb662b2215e16505f8c4b8eaf
Q135105207,Mother's little flower,,http://commons.wikimedia.org/wiki/Special:FilePath/Kinderm%C3%A4dchen%2C%20Hubert%20Salentin%20%28WVZ%20210a%29.jpg,Hubert Salentin,Q1217,male,,,,,http://www.wikidata.org/.well-known/genid/119940695ef51fc47bc13bac90038376,http://www.wikidata.org/.well-known/genid/e9432a8482b3f044ceec2a7b0263bd33,1875,,,oil paint,64.5,54.5,M_002_Hubert_Salentin_Mothers_little_flower_1875.jpg,male_paintings\M_002_Hubert_Salentin_Mothers_little_flower_1875.jpg,"File:Kindermädchen, Hubert Salentin (WVZ 210a).jpg","<bdi><a href=""https://en.wikipedia.org/wiki/en:Hubert_Salentin"" class=""extiw"" title=""w:en:Hubert Salentin""><span title=""German painter (1822-1910)"">Hubert Salentin</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external text"" href=""https://www.christies.com/en/lot/lot-5096924"">christies.com</a>",Public domain,1007,1199,image/jpeg,c4c7d9ffcdc1bf836136b68efad9cfc1586d1f3d
Q60935829,Buste de femme,,http://commons.wikimedia.org/wiki/Special:FilePath/Strasbourg%20Mus%C3%A9e%20d%27art%20moderne%20et%20contemporain%20f%C3%A9vrier%202014-22.jpg,Pablo Picasso,Q5593,male,,,,D.55.990.3.4,Strasbourg Museum of Modern and Contemporary Art,Strasbourg Museum of Modern and Contemporary Art,1926,portrait,,oil paint,81,64.7,M_003_Pablo_Picasso_Buste_de_femme_1926.jpg,male_paintings\M_003_Pablo_Picasso_Buste_de_femme_1926.jpg,File:Strasbourg Musée d'art moderne et contemporain février 2014-22.jpg,"<a href=""//commons.wikimedia.org/wiki/User:Ctruongngoc"" title=""User:Ctruongngoc""><b>Photo Claude TRUONG-NGOC</b></a>",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Claude Truong-Ngoc / Wikimedia Commons - cc-by-sa-3.0,"<span class=""int-own-work"" lang=""en"">Own work</span>",Creative Commons Attribution-Share Alike 3.0,2048,1365,image/jpeg,99480d96178c7707f17d4dbd250e74f935538c14
Q59874441,Escrava recebendo punição,,http://commons.wikimedia.org/wiki/Special:FilePath/Escrava%20recebendo%20puni%C3%A7%C3%A3o%2C%20da%20Cole%C3%A7%C3%A3o%20Brasiliana%20Iconogr%C3%A1fica.jpg,Harro Harring,Q20668,male,,,,1555,Brasiliana Iconográfica,,1840,,,gouache paint,31.7,21.2,M_004_Harro_Harring_Escrava_recebendo_punição_1840.jpg,male_paintings\M_004_Harro_Harring_Escrava_recebendo_punição_1840.jpg,"File:Escrava recebendo punição, da Coleção Brasiliana Iconográfica.jpg",Unknown,Public domain,,,"<a href=""https://en.wikipedia.org/wiki/pt:Brasiliana_Iconogr%C3%A1fica"" class=""extiw"" title=""w:pt:Brasiliana Iconográfica"">Brasiliana Iconográfica</a>",Public domain,2048,3155,image/jpeg,01aadeea10283455147463823f34e8b1962732c4
Q119497368,John Rushworth,,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Dobson%20%281611-1646%29%20%28after%29%20-%20John%20Rushworth%20-%20WOA%202722%20-%20Parliamentary%20Art%20Collection.jpg,William Dobson,Q58303,male,,,,WOA 2722,Parliamentary Art Collection,Parliamentary Art Collection,,,,canvas,60.9,57.1,M_005_William_Dobson_John_Rushworth_undated.jpg,male_paintings\M_005_William_Dobson_John_Rushworth_undated.jpg,File:William Dobson (1611-1646) (after) - John Rushworth - WOA 2722 - Parliamentary Art Collection.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:William_Dobson"" class=""extiw"" title=""w:en:William Dobson""><span title=""English portrait painter (1610-1646)"">William Dobson</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external text"" href=""https://artuk.org/discover/artworks/john-rushworth-213831"">Art UK</a> <span class=""mw-valign-text-top"" typeof=""mw:File/Frameless""><a href=""//commons.wikimedia.org/wiki/File:OOjs_UI_icon_edit-ltr-progressive.svg"" class=""mw-file-description"" title=""Edit this at Structured Data on Commons""><img alt=""Edit this at Structured Data on Commons"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png"" decoding=""async"" width=""10"" height=""10"" class=""mw-file-element"" data-file-width=""20"" data-file-height=""20""></a></span>",Public domain,961,1200,image/jpeg,d60bae18f557a6e2ac6358f097459e3401db8875
Q28060242,Girls walking music in landscape,,http://commons.wikimedia.org/wiki/Special:FilePath/J.A.%20Backer%20-%20Nimfen%2C%20musicerend%20na%20de%20jacht%20-%20NK2274%20-%20Cultural%20Heritage%20Agency%20of%20the%20Netherlands%20Art%20Collection.jpg,Jacob Adriaensz Backer,Q19032,male,,,,7532,Rijksdienst Beeldende Kunst,Führermuseum,1637,mythological painting,,oil paint,199,240.5,M_006_Jacob_Adriaensz_Backer_Girls_walking_music_in_landscape_1637.jpg,male_paintings\M_006_Jacob_Adriaensz_Backer_Girls_walking_music_in_landscape_1637.jpg,"File:J.A. Backer - Nimfen, musicerend na de jacht - NK2274 - Cultural Heritage Agency of the Netherlands Art Collection.jpg","<bdi><a href=""https://en.wikipedia.org/wiki/en:Jacob_Adriaensz_Backer"" class=""extiw"" title=""w:en:Jacob Adriaensz Backer""><span title=""Dutch Golden Age painter (1608-1651)"">Jacob Adriaensz Backer</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external free"" href=""http://beeldbank.cultureelerfgoed.nl/alle-afbeeldingen/detail/4beb4725-2313-50c7-b63f-3b4581748383/media/63c00062-f440-8619-d31b-3e66904e4a57"">http://beeldbank.cultureelerfgoed.nl/alle-afbeeldingen/detail/4beb4725-2313-50c7-b63f-3b4581748383/media/63c00062-f440-8619-d31b-3e66904e4a57</a>",Public domain,1772,1430,image/jpeg,8c3b9554bdc7e9bf06a697cf715062e8948a6603
Q17495108,Berthe Morisot with a Fan,,http://commons.wikimedia.org/wiki/Special:FilePath/Berthe%20Morisot%20Manet%20Lille%202918.jpg,Henri de Toulouse-Lautrec,Q40599,male,,,,RF 1999 12,Musée d'Orsay,Palais des Beaux-Arts de Lille,1874,portrait,,oil paint,50.5,61,M_007_Henri_de_Toulouse-Lautrec_Berthe_Morisot_with_a_Fan_1874.jpg,male_paintings\M_007_Henri_de_Toulouse-Lautrec_Berthe_Morisot_with_a_Fan_1874.jpg,File:Berthe Morisot Manet Lille 2918.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:%C3%89douard_Manet"" class=""extiw"" title=""w:en:Édouard Manet""><span title=""French painter (1832–1883)"">Édouard Manet</span></a></bdi>",Public domain,,,"<span class=""int-own-work"" lang=""en"">Own work</span>, <a href=""//commons.wikimedia.org/wiki/User:Vassil"" title=""User:Vassil"">Vassil</a>",Public domain,1473,1701,image/jpeg,26adfd319b9fe25c38eaaca0950171a97555bddb
Q26493286,Angelica saved by Ruggiero,,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Auguste-Dominique%20Ingres%20%281780-1867%29%20-%20Angelica%20saved%20by%20Ruggiero%20-%20NG3292%20-%20National%20Gallery.jpg,Jean-Auguste-Dominique Ingres,Q23380,male,,,,NG3292,National Gallery,National Gallery,1829,,,oil paint,47.6,39.4,M_008_Jean-Auguste-Dominique_Ingres_Angelica_saved_by_Ruggiero_1829.jpg,male_paintings\M_008_Jean-Auguste-Dominique_Ingres_Angelica_saved_by_Ruggiero_1829.jpg,File:Jean-Auguste-Dominique Ingres (1780-1867) - Angelica saved by Ruggiero - NG3292 - National Gallery.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Jean-Auguste-Dominique_Ingres"" class=""extiw"" title=""w:en:Jean-Auguste-Dominique Ingres""><span title=""French painter (1780–1867)"">Jean-Auguste-Dominique Ingres</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external text"" href=""https://artuk.org/discover/artworks/angelica-saved-by-ruggiero-114335"">Art UK</a> <span class=""mw-valign-text-top"" typeof=""mw:File/Frameless""><a href=""//commons.wikimedia.org/wiki/File:OOjs_UI_icon_edit-ltr-progressive.svg"" class=""mw-file-description"" title=""Edit this at Structured Data on Commons""><img alt=""Edit this at Structured Data on Commons"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png"" decoding=""async"" width=""10"" height=""10"" class=""mw-file-element"" data-file-width=""20"" data-file-height=""20""></a></span>",Public domain,663,800,image/jpeg,b00c794e98b00b5d3e3d2cc0638984171700ccfb
Q28797412,The Three Graces,,http://commons.wikimedia.org/wiki/Special:FilePath/Lucas%20Cranach%20the%20Elder%20-%20The%20Three%20Graces%20-%20Google%20Art%20Project.jpg,Hieronymus Bosch,Q191748,male,,,,57-1,The Nelson-Atkins Museum of Art,The Nelson-Atkins Museum of Art,1535,nude,,panel,49.21,34.45,M_009_Hieronymus_Bosch_The_Three_Graces_1535.jpg,male_paintings\M_009_Hieronymus_Bosch_The_Three_Graces_1535.jpg,File:Lucas Cranach the Elder - The Three Graces - Google Art Project.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Lucas_Cranach_the_Elder"" class=""extiw"" title=""w:en:Lucas Cranach the Elder""><span title=""German painter and printmaker (1472–1553)"">Lucas Cranach the Elder</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external text"" href=""//www.google.com/culturalinstitute/asset-viewer/NAFaBE2p_KNLAA"">NAFaBE2p_KNLAA at Google Cultural Institute</a> maximum zoom level",Public domain,2048,2890,image/jpeg,b51b0cd84a09a3d1ce28ae474bbd9dfae503151d
Q119138196,Henry Richard (1812–1888),,http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20Stone%20Moscheles%20%281833-1917%29%20-%20Henry%20Richard%20%281812%E2%80%931888%29%20-%20NMW%20A%204988%20-%20National%20Museum%20Cardiff.jpg,Felix Moscheles,Q55999,male,,,,NMW A 4988,National Museum Cardiff,National Museum Cardiff,1883,portrait,,oil paint,81.5,70.8,M_010_Felix_Moscheles_Henry_Richard_18121888_1883.jpg,male_paintings\M_010_Felix_Moscheles_Henry_Richard_18121888_1883.jpg,File:Felix Stone Moscheles (1833-1917) - Henry Richard (1812–1888) - NMW A 4988 - National Museum Cardiff.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Felix_Moscheles"" class=""extiw"" title=""w:en:Felix Moscheles""><span title=""English painter, peace activist and advocate of Esperanto (1833-1917)"">Felix Moscheles</span></a></bdi>",Public domain,,,"<a rel=""nofollow"" class=""external text"" href=""https://artuk.org/discover/artworks/henry-richard-18121888-161867"">Art UK</a> <span class=""mw-valign-text-top"" typeof=""mw:File/Frameless""><a href=""//commons.wikimedia.org/wiki/File:OOjs_UI_icon_edit-ltr-progressive.svg"" class=""mw-file-description"" title=""Edit this at Structured Data on Commons""><img alt=""Edit this at Structured Data on Commons"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png"" decoding=""async"" width=""10"" height=""10"" class=""mw-file-element"" data-file-width=""20"" data-file-height=""20""></a></span>",Public domain,1006,1200,image/jpeg,dd5772a42d8403875f491f5116d6c8f4df8f8e5e
