qid,label,description,image_url,inventory,collection,location,inception,genre,depicts,material,height_cm,width_cm,category,category_justification,local_filename,commons_artist,commons_license,commons_attribution,commons_license_url
Q29033098,Annunciation,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Annunciazione%20%281623%20circa%29%20-%20Orazio%20Gentileschi.jpg,,Galleria Sabauda,Galleria Sabauda,1623-01-01T00:00:00Z,religious art,Mary,oil paint,286,196,UNQUESTIONED,"1623, Turin. Savoy commission documented by Claretta 1893. Bissell cat. 42.",UNQ_01_Annunciation_1623.jpg,,,,
Q77610686,Annunciation,painting by Orazio Gentileschi (1600),http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20L%27Annonciation.jpg,,Alana Collection,,,religious art,,,,,UNQUESTIONED,"1623, Turin. Savoy commission documented by Claretta 1893. Bissell cat. 42.",UNQ_03_Annunciation_undated.jpg,,,,
Q29044171,Circumcision,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Circoncisione%20di%20Ges%C3%B9%20-%20O.%20Gentileschi.png,,"Pinacoteca civica ""Francesco Podesti""","Pinacoteca civica ""Francesco Podesti""",1607-01-01T00:00:00Z,religious art,circumcision of Jesus,oil paint,,,UNQUESTIONED,"c.1616, Gesù, Ancona. Commission documented. Zeri attribution 1957. Bissell cat. 30.",UNQ_04_Circumcision_1607.png,,,,
Q21722622,Cupid and Psyche,painting attributed to Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Hermitageoraziogentileschicupidandpsyche.jpg,ГЭ-6889,Hermitage Museum,Hermitage Museum,1610-01-01T00:00:00Z,mythological painting,Cupid,oil paint,136.5,160,UNQUESTIONED,"c.1628-30, Hermitage. Late English period. Acquired as Orazio. Bissell cat. 57.",UNQ_05_Cupid_and_Psyche_1610.jpg,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Orazio_Gentileschi"" class=""extiw"" title=""w:en:Orazio Gentileschi""><span title=""Italian painter (1563–1639)"">Orazio Gentileschi</span></a></bdi>",CC BY-SA 3.0,,https://creativecommons.org/licenses/by-sa/3.0
Q29044349,David Contemplating the Head of Goliath,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20David%20Contemplating%20the%20Head%20of%20Goliath%20-%20WGA08579.jpg,155,Galleria Spada,Galleria Spada,1612-01-01T00:00:00Z,religious art,David and Goliath,oil paint,173,142,UNQUESTIONED,"c.1610, Galleria Spada. Caravaggio influence period. Bissell cat. 15.",UNQ_06_David_Contemplating_the_Head_o_1612.jpg,,,,
Q29044364,David Contemplating the Head of Goliath,painting by Orazio Gentileschi (Berlin),http://commons.wikimedia.org/wiki/Special:FilePath/Gentileschi%20-%20David%20mit%20dem%20Haupt%20Goliaths%2C%20um%201610%2C%201723.jpg,1723,Gemäldegalerie Berlin,Gemäldegalerie Berlin,1612-01-01T00:00:00Z,religious art,David,copper,36.7,28.7,UNQUESTIONED,"c.1610, Galleria Spada. Caravaggio influence period. Bissell cat. 15.",UNQ_07_David_Contemplating_the_Head_o_1612.jpg,,,,
Q29044255,David and Goliath,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Davide%20e%20Golia%20%28National%20Gallery%20of%20Ireland%29.jpg,NGI.980,National Gallery of Ireland,National Gallery of Ireland,1605-01-01T00:00:00Z,religious art,Goliath,oil paint,185.5,136,UNQUESTIONED,"c.1605-07, Dublin. Early work. Mahon 1947 attribution confirmed. Bissell cat. 4.",UNQ_08_David_and_Goliath_1605.jpg,,,,
Q103822021,David contemplating the Head of Goliath,painting by Orazio Gentileschi (Weiss Gallery),http://commons.wikimedia.org/wiki/Special:FilePath/David%20contemplating%20the%20Head%20of%20Goliath%20by%20Orazio%20Gentileschi%2C%20oil%20on%20lapis%20lazuli%2C.jpg,,http://www.wikidata.org/.well-known/genid/8fda2a31054d1f092890f258f25afb71,,1612-01-01T00:00:00Z,religious art,sword,oil paint,25,19,UNQUESTIONED,"c.1610, Galleria Spada. Caravaggio influence period. Bissell cat. 15.",UNQ_09_David_contemplating_the_Head_o_1612.jpg,,,,
Q17627591,Diana the Huntress,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Diane%20Chasseresse%20%28Gentileschi%29.jpg,6735,Nantes Museum of Arts,Nantes Museum of Arts,1700-01-01T00:00:00Z,mythological painting,Diana,oil paint,215,135,UNQUESTIONED,"c.1625-30, Nantes. French period mythological work. Bissell cat. 63.",UNQ_11_Diana_the_Huntress_1700.jpg,,,,
Q29026326,Executioner with the Head of John the Baptist,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Executioner%20with%20the%20Head%20of%20John%20the%20Baptist.jpg,P003188,Museo del Prado,Museo del Prado,1612-01-01T00:00:00Z,religious art,sword,oil paint,82,61,UNQUESTIONED,"c.1610, Galleria Spada. Caravaggio influence period. Bissell cat. 15.",UNQ_12_Executioner_with_the_Head_of_J_1612.jpg,,,,
Q28031064,Joseph and Potiphar's Wife,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20%28Pisa%201563-London%201639%29%20-%20Joseph%20and%20Potiphar%27s%20wife%20-%20RCIN%20405477%20-%20Royal%20Collection.jpg,RCIN 405477,Royal Collection,Royal Collection,1632-01-01T00:00:00Z,religious art,Joseph,oil paint,206,261.9,UNQUESTIONED,"c.1626-30, Royal Collection. In Charles I inventory 1639. Bissell cat. 54.",UNQ_13_Joseph_and_Potiphars_Wife_1632.jpg,,,,
Q29053305,Judith and Her Maidservant with the Head of Holofernes,painting by Orazio Gentileschi in Hartford,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Judith%20and%20Her%20Maidservant%20with%20the%20Head%20of%20Holofernes.JPG,1949.52,Wadsworth Atheneum Museum of Art,Wadsworth Atheneum Museum of Art,1624-01-01T00:00:00Z,religious art,woman,oil paint,,,UNQUESTIONED,"c.1608-09, Oslo. Bissell cat. 14. Early Roman masterpiece, universally attributed.",UNQ_14_Judith_and_Her_Maidservant_wit_1624.jpg,,,,
Q29021642,Judith and her Servant with the Head of Holofernes,painting by Artemisia Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Gentileschi%20Judith%20Lemme.jpg,,http://www.wikidata.org/.well-known/genid/33441a72dd5d052299d963938ce73a28,private collection,1610-01-01T00:00:00Z,religious art,woman,oil paint,130,99,UNQUESTIONED,"c.1608-09, Oslo. Bissell cat. 14. Early Roman masterpiece, universally attributed.",UNQ_15_Judith_and_her_Servant_with_th_1610.jpg,,,,
Q29044280,Judith and her maidservant with the head of Holofernes,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%2C%20Artemisia%20Gentileschi%20-%20Judith%20and%20her%20Maidservant%20with%20the%20Head%20of%20Holofernes%20-%20NG.M.02073%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg,NG.M.02073,"National Museum of Art, Architecture and Design","National Museum of Art, Architecture and Design",1608-01-01T00:00:00Z,religious art,woman,oil paint,136,160,UNQUESTIONED,"c.1608-09, Oslo. Bissell cat. 14. Early Roman masterpiece, universally attributed.",UNQ_16_Judith_and_her_maidservant_wit_1608.jpg,,,,
Q18688278,Lot and His Daughters,painting by Orazio Gentileschi from circa 1628,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Lot%20and%20His%20Daughters%20-%20Google%20Art%20Project.jpg,69/101,Bilbao Fine Arts Museum,Bilbao Fine Arts Museum,1628-01-01T00:00:00Z,religious art,sleep,oil paint,226,282,UNQUESTIONED,"c.1628, Bilbao. English period work. Getty provenance research confirms. Bissell cat. 56.",UNQ_17_Lot_and_His_Daughters_1628.jpg,,,,
Q20178589,Lot and his Daughters,"painting by Orazio Gentileschi (Getty, 98.PA.10)",http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Lot%20e%20le%20figlie%20%28Getty%20Center%29.jpg,98.PA.10,J. Paul Getty Museum,Getty Center,1622-01-01T00:00:00Z,religious art,Lot,oil paint,151.8,189.2,UNQUESTIONED,"c.1628, Bilbao. English period work. Getty provenance research confirms. Bissell cat. 56.",UNQ_18_Lot_and_his_Daughters_1622.jpg,,,,
Q29033134,Lot and his Daughters,painting by Orazio Gentileschi (Ottawa),http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Lot%20e%20le%20figlie%20%28Mus%C3%A9e%20des%20beaux-arts%20du%20Canada%29.jpg,14811,National Gallery of Canada,National Gallery of Canada,1622-01-01T00:00:00Z,religious art,woman,oil paint,157.5,195.6,UNQUESTIONED,"c.1628, Bilbao. English period work. Getty provenance research confirms. Bissell cat. 56.",UNQ_19_Lot_and_his_Daughters_1622.jpg,,,,
Q5966543,Lot and his daughters,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Lot%20and%20His%20Daughters%20-%20WGA8588.jpg,70.2,Gemäldegalerie Berlin,Gemäldegalerie Berlin,1622-01-01T00:00:00Z,religious art,Lot,oil paint,164,193,UNQUESTIONED,"c.1628, Bilbao. English period work. Getty provenance research confirms. Bissell cat. 56.",UNQ_20_Lot_and_his_daughters_1622.jpg,,,,
Q29041723,Madonna and Child,painting by Orazio Gentileschi,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20gentileschi%2C%20madonna%20col%20bambino%2C%2002.JPG,362/8328,National Museum of Art of Romania,National Museum of Art of Romania,1609-01-01T00:00:00Z,religious art,Mary,oil paint,98.5,75,UNQUESTIONED,"c.1609, National Gallery Rome. Early devotional work. Bissell cat. 11.",UNQ_21_Madonna_and_Child_1609.jpg,,,,
Q29041900,Madonna and Child,painting by Orazio Gentileschi or follower of Caravaggio,http://commons.wikimedia.org/wiki/Special:FilePath/Orazio%20Gentileschi%20-%20Madonna%20col%20Bambino%20%28Palazzo%20Corsini%29.jpg,107,Galleria Nazionale d'Arte Antica di Palazzo Corsini,Galleria Nazionale d'Arte Antica di Palazzo Corsini,1607-01-01T00:00:00Z,religious art,Mary,oil paint,131,91,UNQUESTIONED,"c.1609, National Gallery Rome. Early devotional work. Bissell cat. 11.",UNQ_22_Madonna_and_Child_1607.jpg,,,,
